Date,Open,High,Low,Close,Adj Close,Volume
1/5/20,0.006,0.006,0.006,0.006,0.006,515000
4/5/20,0.006,0.006,0.006,0.006,0.006,0
5/5/20,0.006,0.006,0.005,0.005,0.005,14450999
6/5/20,0.005,0.006,0.005,0.005,0.005,1532750
7/5/20,0.006,0.006,0.005,0.006,0.006,9976769
8/5/20,0.006,0.0065,0.006,0.006,0.006,1238538
11/5/20,0.006,0.007,0.006,0.007,0.007,5910383
12/5/20,0.006,0.007,0.006,0.007,0.007,7205311
13/5/20,0.006,0.007,0.006,0.007,0.007,4193642
14/5/20,0.006,0.006,0.005,0.006,0.006,6801282
15/5/20,0.006,0.007,0.006,0.007,0.007,3135610
18/5/20,0.007,0.007,0.006,0.007,0.007,729338
19/5/20,0.007,0.007,0.006,0.006,0.006,5758221
20/5/20,0.006,0.0065,0.006,0.006,0.006,13327824
21/5/20,0.006,0.0065,0.006,0.006,0.006,2896349
22/5/20,0.007,0.007,0.006,0.0065,0.0065,560358
25/5/20,0.006,0.0065,0.006,0.0065,0.0065,609130
26/5/20,0.006,0.0065,0.006,0.0065,0.0065,650000
27/5/20,0.006,0.006,0.006,0.006,0.006,391666
28/5/20,0.006,0.006,0.006,0.006,0.006,165000
29/5/20,0.006,0.0065,0.006,0.0065,0.0065,351200
1/6/20,0.006,0.0065,0.006,0.0065,0.0065,948591
2/6/20,0.006,0.007,0.006,0.006,0.006,300046
3/6/20,0.006,0.007,0.006,0.007,0.007,5480222
4/6/20,0.006,0.007,0.006,0.007,0.007,7529308
5/6/20,0.007,0.008,0.006,0.008,0.008,21376128
9/6/20,0.008,0.009,0.008,0.008,0.008,32040596
10/6/20,0.009,0.012,0.009,0.011,0.011,94723354
11/6/20,0.011,0.011,0.01,0.01,0.01,19710958
12/6/20,0.01,0.01,0.008,0.01,0.01,30894828
15/6/20,0.01,0.011,0.009,0.01,0.01,9524237
16/6/20,0.01,0.01,0.009,0.009,0.009,6338964
17/6/20,0.01,0.01,0.009,0.01,0.01,4673520
18/6/20,0.01,0.011,0.01,0.01,0.01,22401192
19/6/20,0.011,0.0115,0.011,0.011,0.011,17505278
22/6/20,0.011,0.016,0.011,0.016,0.016,46276941
23/6/20,0.02,0.024,0.019,0.021,0.021,125699388
24/6/20,0.02,0.021,0.018,0.019,0.019,33723947
25/6/20,0.018,0.019,0.017,0.018,0.018,18863547
26/6/20,0.019,0.02,0.019,0.019,0.019,8823830
29/6/20,0.019,0.019,0.018,0.019,0.019,6278546
30/6/20,0.019,0.02,0.018,0.02,0.02,11550999
1/7/20,0.02,0.02,0.018,0.018,0.018,12934600
2/7/20,0.019,0.019,0.018,0.018,0.018,4498852
3/7/20,0.019,0.019,0.018,0.018,0.018,3541112
6/7/20,0.018,0.019,0.018,0.018,0.018,2081640
7/7/20,0.019,0.0195,0.018,0.018,0.018,7383096
8/7/20,0.019,0.019,0.018,0.018,0.018,4786856
9/7/20,0.019,0.025,0.019,0.023,0.023,69067793
10/7/20,0.025,0.025,0.023,0.023,0.023,40432210
13/7/20,0.023,0.023,0.021,0.022,0.022,22248384
14/7/20,0.024,0.031,0.024,0.026,0.026,70672642
15/7/20,0.026,0.028,0.025,0.026,0.026,21347772
16/7/20,0.027,0.027,0.026,0.026,0.026,8763702
17/7/20,0.027,0.034,0.026,0.028,0.028,73785839
20/7/20,0.03,0.04,0.029,0.04,0.04,72161904
21/7/20,0.041,0.045,0.036,0.039,0.039,85857234
22/7/20,0.039,0.04,0.036,0.037,0.037,27017959
23/7/20,0.042,0.043,0.038,0.04,0.04,35502992
24/7/20,0.039,0.042,0.038,0.04,0.04,25773277
27/7/20,0.04,0.04,0.04,0.04,0.04,0
28/7/20,0.04,0.04,0.04,0.04,0.04,0
29/7/20,0.035,0.036,0.031,0.033,0.033,44189262
30/7/20,0.032,0.033,0.03,0.03,0.03,17141754
31/7/20,0.031,0.035,0.031,0.035,0.035,18432494
3/8/20,0.035,0.035,0.032,0.032,0.032,7074501
4/8/20,0.032,0.033,0.032,0.033,0.033,7410059
5/8/20,0.033,0.033,0.031,0.031,0.031,15774248
6/8/20,0.033,0.034,0.031,0.032,0.032,22092152
7/8/20,0.031,0.031,0.029,0.03,0.03,30856888
10/8/20,0.03,0.03,0.028,0.028,0.028,12976867
11/8/20,0.029,0.033,0.029,0.03,0.03,40027153
12/8/20,0.03,0.03,0.028,0.028,0.028,11064499
13/8/20,0.029,0.03,0.028,0.029,0.029,8482246
14/8/20,0.029,0.029,0.028,0.029,0.029,19147085
17/8/20,0.029,0.03,0.029,0.03,0.03,5754797
18/8/20,0.03,0.032,0.03,0.03,0.03,8292365
19/8/20,0.029,0.03,0.029,0.03,0.03,4350720
20/8/20,0.03,0.034,0.029,0.032,0.032,34898627
21/8/20,0.032,0.033,0.031,0.033,0.033,9640219
24/8/20,0.033,0.034,0.032,0.032,0.032,6815490
25/8/20,0.033,0.033,0.032,0.032,0.032,5916833
26/8/20,0.035,0.035,0.033,0.033,0.033,19349015
27/8/20,0.034,0.035,0.034,0.034,0.034,5144439
28/8/20,0.035,0.039,0.034,0.038,0.038,22005939
31/8/20,0.038,0.038,0.036,0.037,0.037,11482350
1/9/20,0.037,0.043,0.036,0.038,0.038,35111749
